name,phoneNumber,email,address,userAgent,hexcolor
"Dr. Thad Metz I",+1.750.525.8267,rstracke@gmail.com,"964 Meta Underpass Apt. 821
Anthonymouth, CA 21159-5633","Mozilla/5.0 (Windows NT 6.2) AppleWebKit/5350 (KHTML, like Gecko) Chrome/36.0.854.0 Mobile Safari/5350",#799711
"Nikki Pouros",+1-373-821-2942,jacobson.shyann@gmail.com,"6276 Hudson Groves
Lake Keatonland, NJ 07569","Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_5_6) AppleWebKit/5320 (KHTML, like Gecko) Chrome/40.0.890.0 Mobile Safari/5320",#7bd3b5
"Prof. Enoch DuBuque","(991) 750-0438",orau@yahoo.com,"21578 Terence Station
Port Sarinastad, NV 44961-1991","Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 4.0; Trident/3.1)",#3105ae
"Elian Wiegand",+1-719-506-3998,emmerich.adelia@koepp.com,"8242 Mitchell Stream
Cormierport, MA 08028","Mozilla/5.0 (X11; Linux x86_64; rv:5.0) Gecko/20221221 Firefox/36.0",#a988c5
"Marielle Bahringer","(815) 601-9954",wilhelmine61@rogahn.com,"877 Farrell Bridge
Lake Kian, MA 12044","Mozilla/5.0 (Windows; U; Windows 98) AppleWebKit/531.29.7 (KHTML, like Gecko) Version/4.0.3 Safari/531.29.7",#473ebf
"Daphnee Jacobs",501.394.7741,lucie.roob@kiehn.com,"7866 Watsica Mountain Suite 802
Nitzscheland, CO 79460-9869","Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Trident/5.0)",#1e9ccf
"Ms. Annabel Grant",+14636289568,eleanora18@hotmail.com,"89644 Pansy Ford Suite 543
North Moshebury, AZ 50872-8820","Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_9) AppleWebKit/5350 (KHTML, like Gecko) Chrome/37.0.848.0 Mobile Safari/5350",#e777e0
"Prof. Ava Durgan DVM",608-452-1450,wunsch.efren@gmail.com,"290 Jaeden Skyway Apt. 026
Swiftmouth, KS 67849-9113","Opera/9.63 (Windows 98; sl-SI) Presto/2.11.191 Version/11.00",#3fc9b9
"Catharine Rutherford",727.700.2801,ezra.damore@rogahn.com,"54517 Schuppe Route Apt. 897
Lake Royce, OH 26076","Mozilla/5.0 (Macintosh; PPC Mac OS X 10_7_6 rv:6.0; sl-SI) AppleWebKit/533.40.2 (KHTML, like Gecko) Version/5.0.5 Safari/533.40.2",#dacb80
"Claudia Padberg","(782) 323-5896",wolf.jaqueline@bradtke.com,"368 Juliet Port Suite 131
Reynoldsfort, MD 79420-9839","Mozilla/5.0 (Macintosh; PPC Mac OS X 10_7_0 rv:3.0) Gecko/20180725 Firefox/36.0",#bc123d
"Brenda Green",419.722.6451,raphaelle.ziemann@gmail.com,"98133 Effie Mall
Robertsport, VA 70790-2563","Opera/8.62 (X11; Linux i686; sl-SI) Presto/2.8.282 Version/10.00",#ac050d
"Buster Crooks",1-962-833-0639,weber.sophia@jacobson.com,"398 Bradtke Parkway
Port Shaylee, VT 44985","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5 rv:2.0; sl-SI) AppleWebKit/534.49.3 (KHTML, like Gecko) Version/4.1 Safari/534.49.3",#406d95
"Carson Becker",+1-213-506-2237,alysha.satterfield@koch.info,"684 Davon Loop Suite 550
West Remingtonhaven, DC 61478-0861","Mozilla/5.0 (compatible; MSIE 11.0; Windows 98; Trident/4.0)",#d72659
